seed_key,source_name,state_source,state_code,city_name,locality_name,distance_km,zone,profile_code,range_1200,range_650,range_250,range_120,range_30,allowed_ranges,shipping_cost,free_from_qty,source_logistic_discount,source_row
GUA_026_14,ROMITA,Guanajuato,GUA,Romita,Romita,28,BAJÍO 1,PERFIL_01,0.05,0.04,0.03,0.02,0,1200|650|250|120|30,40,100,0.03,2
GUA_037_11,SILAO,Guanajuato,GUA,Silao de la Victoria,Silao,32,BAJÍO 1,PERFIL_01,0.05,0.04,0.03,0.02,0,1200|650|250|120|30,40,100,0.03,3
GUA_031_10,SAN FRANCISCO DEL RINCON (EAD),Guanajuato,GUA,San Francisco del Rincón,San Francisco del Rincón,34,BAJÍO 1,PERFIL_01,0.05,0.04,0.03,0.02,0,1200|650|250|120|30,40,100,0.03,4
GUA_025_29,PURISIMA DEL RINCON,Guanajuato,GUA,Purísima del Rincón,Purísima de Bustos,36,BAJÍO 1,PERFIL_01,0.05,0.04,0.03,0.02,0,1200|650|250|120|30,40,100,0.03,5
JAL_072_15,SAN DIEGO DE ALEJANDRIA,Jalisco,JAL,San Diego de Alejandría,San Diego de Alejandría,58,BAJÍO 1,PERFIL_01,0.05,0.04,0.03,0.02,0,1200|650|250|120|30,40,100,0.03,8
GUA_020_07,LEON,Guanajuato,GUA,León,León de los Aldama,60,BAJÍO 1,PERFIL_01,0.05,0.04,0.03,0.02,0,1200|650|250|120|30,40,100,0.03,9
GUA_017_06,IRAPUATO,Guanajuato,GUA,Irapuato,Irapuato,62,BAJÍO 1,PERFIL_01,0.05,0.04,0.03,0.02,0,1200|650|250|120|30,40,100,0.03,11
JAL_109_52,UNION DE SAN ANTONIO,Jalisco,JAL,Unión de San Antonio,Unión de San Antonio,68,BAJÍO 1,PERFIL_01,0.05,0.04,0.03,0.02,0,1200|650|250|120|30,40,100,0.03,12
JAL_053_04,LAGOS DE MORENO,Jalisco,JAL,Lagos de Moreno,Lagos de Moreno,70,BAJÍO 1,PERFIL_01,0.05,0.04,0.03,0.02,0,1200|650|250|120|30,40,100,0.03,13
JAL_074_27,SAN JULIAN,Jalisco,JAL,San Julián,San Julián,82,OCCIDENTE,PERFIL_01,0.05,0.04,0.03,0.02,0,1200|650|250|120|30,40,100,0.03,15
GUA_027_09,SALAMANCA,Guanajuato,GUA,Salamanca,Salamanca,86,BAJÍO 1,PERFIL_01,0.05,0.04,0.03,0.02,0,1200|650|250|120|30,40,100,0.03,18
GUA_001_24,ABASOLO,Guanajuato,GUA,Abasolo,Abasolo,94,BAJÍO 1,PERFIL_01,0.05,0.04,0.03,0.02,0,1200|650|250|120|30,40,100,0.03,20
GUA_015_05,GUANAJUATO,Guanajuato,GUA,Guanajuato,Guanajuato,104,BAJÍO 1,PERFIL_02,0.05,0.04,0.03,0,,1200|650|250|120,40,100,0.03,21
GUA_042_23,VALLE DE SANTIAGO,Guanajuato,GUA,Valle de Santiago,Valle de Santiago,104,BAJÍO 1,PERFIL_03,0.05,0.04,0.02,0,,1200|650|250|120,50,100,0.03,22
GUA_012_20,CUERAMARO,Guanajuato,GUA,Cuerámaro,Cuerámaro,108,BAJÍO 1,PERFIL_03,0.05,0.04,0.02,0,,1200|650|250|120,50,100,0.03,23
GUA_023_19,PENJAMO,Guanajuato,GUA,Pénjamo,Pénjamo,115,BAJÍO 1,PERFIL_03,0.05,0.04,0.02,0,,1200|650|250|120,50,100,0.03,24
GUA_016_16,HUANIMARO,Guanajuato,GUA,Huanímaro,Huanímaro,116,BAJÍO 1,PERFIL_03,0.05,0.04,0.02,0,,1200|650|250|120,50,100,0.03,25
GUA_007_03,CELAYA,Guanajuato,GUA,Celaya,Celaya,117,BAJÍO 1,PERFIL_03,0.05,0.04,0.02,0,,1200|650|250|120,50,100,0.03,26
GUA_044_26,VILLAGRAN,Guanajuato,GUA,Villagrán,Villagrán,131,BAJÍO 1,PERFIL_03,0.05,0.04,0.02,0,,1200|650|250|120,50,100,0.03,32
GUA_011_04,CORTAZAR,Guanajuato,GUA,Cortázar,Cortázar,132,BAJÍO 1,PERFIL_03,0.05,0.04,0.02,0,,1200|650|250|120,50,100,0.03,33
GUA_005_28,APASEO EL GRANDE,Guanajuato,GUA,Apaseo el Grande,Apaseo el Grande,139,BAJÍO 1,PERFIL_03,0.05,0.04,0.02,0,,1200|650|250|120,50,100,0.03,37
GUA_007_25,RINCON DE TAMAYO,Guanajuato,GUA,Celaya,Rincón de Tamayo,140,BAJÍO 1,PERFIL_03,0.05,0.04,0.02,0,,1200|650|250|120,50,100,0.03,39
GUA_009_21,EMPALME ESCOBEDO,Guanajuato,GUA,Comonfort,Empalme Escobedo (Escobedo),141,BAJÍO 1,PERFIL_03,0.05,0.04,0.02,0,,1200|650|250|120,50,100,0.03,40
GUA_041_18,URIANGATO,Guanajuato,GUA,Uriangato,Uriangato,147,BAJÍO 1,PERFIL_03,0.05,0.04,0.02,0,,1200|650|250|120,50,100,0.03,44
GUA_009_17,COMONFORT,Guanajuato,GUA,Comonfort,Comonfort,147,BAJÍO 1,PERFIL_03,0.05,0.04,0.02,0,,1200|650|250|120,50,100,0.03,46
GUA_021_08,MOROLEON,Guanajuato,GUA,Moroleón,Moroleón,152,BAJÍO 1,PERFIL_03,0.05,0.04,0.02,0,,1200|650|250|120,50,100,0.03,48
GUA_018_35,JARAL DEL PROGRESO,Guanajuato,GUA,Jaral del Progreso,Jaral del Progreso,155,BAJÍO 1,PERFIL_03,0.05,0.04,0.02,0,,1200|650|250|120,50,100,0.03,52
GUA_046_27,YURIRIA,Guanajuato,GUA,Yuriria,Yuriria,157,BAJÍO 1,PERFIL_03,0.05,0.04,0.02,0,,1200|650|250|120,50,100,0.03,53
JAL_116_51,VILLA HIDALGO,Jalisco,JAL,Villa Hidalgo,Villa Hidalgo,159,OCCIDENTE,PERFIL_03,0.05,0.04,0.02,0,,1200|650|250|120,50,100,0.03,57
GUA_028_30,SALVATIERRA,Guanajuato,GUA,Salvatierra,Salvatierra,164,BAJÍO 1,PERFIL_03,0.05,0.04,0.02,0,,1200|650|250|120,50,100,0.03,60
AGU_005_04,JESUS MARIA,Aguascalientes,AGU,Jesús María,Jesús María,176,BAJÍO 3,PERFIL_03,0.05,0.04,0.02,0,,1200|650|250|120,50,250,0.03,64
AGU_011_03,SAN FRANCISCO DE LOS ROMOS,Aguascalientes,AGU,San Francisco de los Romo,San Francisco de los Romo,182,BAJÍO 3,PERFIL_03,0.05,0.04,0.02,0,,1200|650|250|120,50,250,0.03,65
GUA_036_13,SANTIAGO MARAVATIO,Guanajuato,GUA,Santiago Maravatío,Santiago Maravatío,182,MICHOACÁN,PERFIL_03,0.05,0.04,0.02,0,,1200|650|250|120,50,250,0.03,66
QUE_014_01,QUERETARO,Querétaro,QUE,Querétaro,Querétaro,190,SURESTE,PERFIL_03,0.05,0.04,0.02,0,,1200|650|250|120,50,250,0.03,68
GUA_002_01,ACAMBARO,Guanajuato,GUA,Acámbaro,Acámbaro,191,MICHOACÁN,PERFIL_03,0.05,0.04,0.02,0,,1200|650|250|120,50,250,0.03,71
AGU_006_05,PABELLON DE ARTEAGA,Aguascalientes,AGU,Pabellón de Arteaga,Pabellón de Arteaga,199,BAJÍO 3,PERFIL_03,0.05,0.04,0.02,0,,1200|650|250|120,50,250,0.03,72
JAL_111_56,VALLE DE GUADALUPE,Jalisco,JAL,Valle de Guadalupe,Valle de Guadalupe,201,OCCIDENTE,PERFIL_03,0.05,0.04,0.02,0,,1200|650|250|120,50,250,0.03,75
